,COD_PRO,COD_SEL,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Requires_Carbonate_RL,Requires_Isolation_RL,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Requires_Carbonate_APP,Requires_Isolation_APP,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Year_Selection,Year_Implementation,Concluded_Isolation,Project_Status,Requires_Isolation,Requires_Carbonate
973,PRO0943,SEL0974,0,0,0,0,,332.0,0.0,0.65,10.64,0.0,0.0,1,B,,600,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
974,PRO0944,SEL0975,212,11,20,6,,1106.0,1.84,0.0,2.1,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,B,2000.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
975,PRO0945,SEL0976,160,6,5,4,,1659.0,3.0,0.8,3.8,0.0,0.0,1,A,,,RL SAF,2019.0,0.0,0.0,1,A,,,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
976,PRO0946,SEL0977,145,7,5,4,,442.0,4.0,0.0,4.0,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,800.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
977,PRO0947,SEL0978,240,8,20,6,,1742.0,5.15,0.0,5.15,0.0,0.0,,,,,RL SAF,2019.0,0.0,0.0,2,A,C,3150.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
978,PRO0948,SEL0979,79,3,10,2,,277.0,0.4,0.0,4.0,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,C,500.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
979,PRO0949,SEL0980,192,5,20,5,,80.0,5.0,0.0,5.15,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,C,150.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
980,PRO0950,SEL0981,252,4,50,6,,3270.0,1.72,1.5,3.22,0.0,0.0,2,B,C,1670,RL SAF,2019.0,0.0,0.0,1,A,,2000.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
981,PRO0951,SEL0982,232,10,50,6,,375.0,6.31,0.33,6.64,0.0,0.0,2,A,B,380,RL SAF,2019.0,0.0,0.0,1,A,,300.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
982,PRO0952,SEL0983,236,15,75,6,,221.0,2.33,0.0,3.22,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,400.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
983,PRO0953,SEL0984,216,11,90,5,,775.0,1.42,0.41,6.64,0.0,0.0,1,B,-,900,RL SAF,2019.0,0.0,0.0,1,A,,500.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
984,PRO0954,SEL0985,35,2,20,1,CONCLUIDO,0.94,0.18,0.0,2.33,0.0,0.0,,,,,,2019.0,0.0,0.0,2,C,D,170.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
985,PRO0955,SEL0986,54,2,20,2,CONCLUIDO,0.0,0.2,0.0,1.83,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,220.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
986,PRO0956,SEL0987,340,12,150,8,CONCLUIDO,0.221,2.44,0.0,2.44,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,400.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
987,PRO0957,SEL0988,302,10,50,8,CONCLUIDO,1189.0,3.04,0.0,3.04,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,C,2150.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
