,COD_PRO,COD_EXT_x,COD_MUN,COD_SEDE,Farm,X_UTM,Y_UTM,County,Num_Visits,CAD_PLA,COD_EXT_y,Affiliation,NOME DA ASSOCIÇÃO,Main_Activity,Secondary_Activity
1088,PRO1089,17.0,8,MDO01190807,SITIO NOVA ESPERANÇA,595753.0,8941718.0,MACHADINHO D'OESTE,0,PLA 1089,17.0,STTR,,BOVINOCULTURA DE LEITE,
1089,PRO1090,1.0,5,ITA01190613,SITIO OLIVEIRA,489909.0,8968589.0,ITAPUÃ DO OESTE,0,PLA 1090,1.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,BOVINOCULTURA DE LEITE
1090,PRO1091,1.0,5,ITA01190802,SITIO NOVA UNIÃO,477226.0,8966910.0,ITAPUÃ DO OESTE,0,PLA 1091,1.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,
1091,PRO1092,1.0,5,ITA01190701,SITIO ALVORADA,473952.0,8985861.0,ITAPUÃ DO OESTE,0,PLA 1092,1.0,STTR,,PISCICULTURA,
1092,PRO1093,1.0,5,ITA01190516,,474003.0,8992691.0,ITAPUÃ DO OESTE,0,PLA 1093,1.0,ASSOCIAÇÃO,,HORTICULTURA,
1093,PRO1094,15.0,14,RLM01190927,ESTANCIA CAVALO BRANCO,644200.0,8703046.0,ROLIM DE MOURA,0,PLA 1094,15.0,STTR,,BOVINOCULTURA DE CORTE,
1094,PRO1095,2.0,4,CUJ01190819,SITIO JERUSALEM,543873.0,8951594.0,CUJUBIM,0,PLA 1095,2.0,OUTRA,,BOVINOCULTURA MISTA,
1095,PRO1096,2.0,4,CUJ01190822,,550398.0,8967842.0,CUJUBIM,0,PLA 1096,2.0,OUTRA,,BOVINOCULTURA DE LEITE,LAVOURA
1096,PRO1097,2.0,4,CUJ01190822,CHACARA NOVA ESPERANÇA,545473.0,8955711.0,CUJUBIM,0,PLA 1097,2.0,OUTRA,,LAVOURA,OLERICULTURA
1097,PRO1098,2.0,4,CUJ01190122,,535444.0,8964666.0,CUJUBIM,0,PLA 1098,2.0,,,BOVINOCULTURA MISTA,
1098,PRO1099,16.0,6,JAR01190909,SITIO ALTO ALEGRE,571291.0,8842674.0,JARU,0,PLA 1100,16.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,FRUTICULTURA*
1099,PRO1100,1.0,5,ITA01190913,CHACARA BELA VISTA,481713.0,8982524.0,ITAPUÃ DO OESTE,0,PLA 1101,1.0,ASSOCIAÇÃO,,CAFEICULTURA,LAVOURA
1100,PRO1101,1.0,5,ITA01190902,SITIO SÃO LUIZ,476749.0,8992153.0,ITAPUÃ DO OESTE,0,PLA 1102,1.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,
1101,PRO1102,1.0,5,ITA01190527,SITIO 02 IRMÃOS,,,ITAPUÃ DO OESTE,0,PLA 1103,1.0,ASSOCIAÇÃO,,HORTICULTURA,
1102,PRO1103,1.0,5,ITA01190905,SITIO BOM FUTURO,478830.0,8964521.0,ITAPUÃ DO OESTE,0,PLA 1104,1.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,OLERICULTURA
1103,PRO1104,1.0,5,ITA02190905,SITIO TAMANINI,467062.0,8960936.0,ITAPUÃ DO OESTE,0,PLA 1105,1.0,ASSOCIAÇÃO,,BOVINOCULTURA DE CORTE,
1104,PRO1105,5.0,1,ARQ01190723,CHACARA BOA SORTE,510783.0,8905351.0,ARIQUEMES,0,PLA 1106,5.0,,,FRUTICULTURA,OLERICULTURA
1105,PRO1106,1.0,5,ITA01190918,SITIO SANTIAGO,456139.0,8990156.0,ITAPUÃ DO OESTE,0,PLA 1107,1.0,STTR,,BOVINOCULTURA DE LEITE,
1106,PRO1107,16.0,6,JAR01190918,SITIO BELA VISTA,507473.0,8793513.0,JARU,0,PLA 1108,16.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,FRUTICULTURA*
1107,PRO1108,16.0,6,JAR02190918,S/N,507523.0,8793573.0,JARU,0,PLA 1109,16.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,
1108,PRO1109,16.0,6,JAR03190918,SITIO VISTA ALEGRE,502665.0,8791014.0,JARU,0,PLA 1110,16.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,FRUTICULTURA*
1109,PRO1110,16.0,6,JAR01190919,S/N,553623.0,8849215.0,JARU,0,PLA 1111,16.0,STTR,,BOVINOCULTURA DE CORTE,LAVOURA
1110,PRO1111,17.0,8,MDO01190925,SITIO ALVORADA II,591677.0,8957719.0,MACHADINHO D'OESTE,0,PLA 1112,17.0,STTR,,CAFEICULTURA,LAVOURA
1111,PRO1112,15.0,14,RLM01190924,S/N,621070.0,8695917.0,ROLIM DE MOURA,0,PLA 1113,15.0,ASSOCIAÇÃO,,BOVINOCULTURA DE CORTE,
